Stationary,1690726756594,1690726920642
Stationary,1690726932779,1690727052731
Walking-flat-surface,1690727416342,1690727551186
Walking-flat-surface,1690727617794,1690727741686
Walking-flat-surface,1690728013037,1690728090739
Walking-flat-surface,1690728124971,1690728242703
Walking-flat-surface,1690728255300,1690728390231
Walking-up-stairs,1690728483001,1690728531054
Running,1690728787567,1690728905798
Running,1690729043829,1690729157787
Elevator-up,1690729730800,1690729766174
Elevator-down,1690729772151,1690729802654
Elevator-up,1690729808379,1690729835074
Elevator-down,1690729882379,1690729966054
Elevator-up,1690729975227,1690730046526
Elevator-down,1690730052668,1690730126195
Elevator-up,1690730156762,1690730234541
Walking-down-stairs,1690730278633,1690730347132
Walking-up-stairs,1690730398281,1690730482651
Walking-down-stairs,1690730493988,1690730577884
Walking-up-stairs,1690730639842,1690730704555
Stationary,1690731241279,1690731361163
